Fold,Type,BuildTime,QueryTime,TotalTime,fraction_trueK_found,Accuracy,Parameters
1,Brute-Force-Jaccard,0.0,671.7774679239956,671.7774679239956,1.0,0.9355781334292393,K=7
1,LSH-Jaccard,1.1183690070029115,102.08209361899935,103.20046262600226,0.4651206103732627,0.9106725409099082,"K=7, tau=0.3, num_perm=16, empty_rate=0.03%, avg_cands=4647.2"
1,LSH-Jaccard,1.1980087049960275,92.57087839399901,93.76888709899504,0.4056374752742313,0.9049181801834203,"K=7, tau=0.4, num_perm=16, empty_rate=0.07%, avg_cands=4172.7"
1,LSH-Jaccard,1.145383770999615,11.252952521004772,12.398336292004387,0.14180388933131244,0.8214799496493437,"K=7, tau=0.5, num_perm=16, empty_rate=1.38%, avg_cands=236.9"
1,LSH-Jaccard,1.050635899999179,5.55806213899632,6.608698038995499,0.06753024892747964,0.6659773422046394,"K=7, tau=0.6, num_perm=16, empty_rate=15.92%, avg_cands=23.4"
1,LSH-Jaccard,0.9387084980044165,3.178443345001142,4.1171518430055585,0.04190536131733758,0.5476982557094048,"K=7, tau=0.7, num_perm=16, empty_rate=53.59%, avg_cands=5.0"
1,LSH-Jaccard,1.92661750499974,121.99754071799543,123.92415822299517,0.5654173195982223,0.9189893903974106,"K=7, tau=0.3, num_perm=32, empty_rate=0.02%, avg_cands=5609.2"
1,LSH-Jaccard,1.8262656380029512,14.946531435998622,16.772797074001573,0.22424666683792738,0.8638734040640172,"K=7, tau=0.4, num_perm=32, empty_rate=0.45%, avg_cands=397.9"
1,LSH-Jaccard,1.974673320997681,6.400541225004417,8.375214546002098,0.09548642330516094,0.7324671821614818,"K=7, tau=0.5, num_perm=32, empty_rate=7.84%, avg_cands=34.0"
1,LSH-Jaccard,1.6998012460026075,3.834797041999991,5.534598288002599,0.053902175867649706,0.5955763351915123,"K=7, tau=0.6, num_perm=32, empty_rate=42.16%, avg_cands=5.7"
1,LSH-Jaccard,1.5363883780009928,2.1842141579982126,3.7206025359992054,0.04045392658052251,0.5199604387700054,"K=7, tau=0.7, num_perm=32, empty_rate=73.34%, avg_cands=2.7"
1,LSH-Jaccard,4.0550674719997915,27.169774684000004,31.224842155999795,0.35801628689598475,0.8957921237187556,"K=7, tau=0.3, num_perm=64, empty_rate=0.16%, avg_cands=953.4"
1,LSH-Jaccard,3.747687049995875,9.440085721005744,13.187772771001619,0.14532329745420916,0.8040819996403524,"K=7, tau=0.4, num_perm=64, empty_rate=2.81%, avg_cands=147.7"
1,LSH-Jaccard,3.1917211750042043,7.476830024002993,10.668551199007197,0.12770056772933952,0.7838967811544686,"K=7, tau=0.5, num_perm=64, empty_rate=3.67%, avg_cands=58.6"
1,LSH-Jaccard,2.8655950840038713,3.1538611899959506,6.019456273999822,0.04939373699488787,0.5507552598453516,"K=7, tau=0.6, num_perm=64, empty_rate=57.60%, avg_cands=4.0"
