================= Per-fold results =================
 Fold                Type  BuildTime  QueryTime  TotalTime  fraction_trueK_found  Accuracy                                                    Parameters
    1 Brute-Force-Jaccard   0.000000 671.777468 671.777468              1.000000  0.935578                                                           K=7
    1         LSH-Jaccard   1.118369 102.082094 103.200463              0.465121  0.910673 K=7, tau=0.3, num_perm=16, empty_rate=0.03%, avg_cands=4647.2
    1         LSH-Jaccard   1.198009  92.570878  93.768887              0.405637  0.904918 K=7, tau=0.4, num_perm=16, empty_rate=0.07%, avg_cands=4172.7
    1         LSH-Jaccard   1.145384  11.252953  12.398336              0.141804  0.821480  K=7, tau=0.5, num_perm=16, empty_rate=1.38%, avg_cands=236.9
    1         LSH-Jaccard   1.050636   5.558062   6.608698              0.067530  0.665977  K=7, tau=0.6, num_perm=16, empty_rate=15.92%, avg_cands=23.4
    1         LSH-Jaccard   0.938708   3.178443   4.117152              0.041905  0.547698   K=7, tau=0.7, num_perm=16, empty_rate=53.59%, avg_cands=5.0
    1         LSH-Jaccard   1.926618 121.997541 123.924158              0.565417  0.918989 K=7, tau=0.3, num_perm=32, empty_rate=0.02%, avg_cands=5609.2
    1         LSH-Jaccard   1.826266  14.946531  16.772797              0.224247  0.863873  K=7, tau=0.4, num_perm=32, empty_rate=0.45%, avg_cands=397.9
    1         LSH-Jaccard   1.974673   6.400541   8.375215              0.095486  0.732467   K=7, tau=0.5, num_perm=32, empty_rate=7.84%, avg_cands=34.0
    1         LSH-Jaccard   1.699801   3.834797   5.534598              0.053902  0.595576   K=7, tau=0.6, num_perm=32, empty_rate=42.16%, avg_cands=5.7
    1         LSH-Jaccard   1.536388   2.184214   3.720603              0.040454  0.519960   K=7, tau=0.7, num_perm=32, empty_rate=73.34%, avg_cands=2.7
    1         LSH-Jaccard   4.055067  27.169775  31.224842              0.358016  0.895792  K=7, tau=0.3, num_perm=64, empty_rate=0.16%, avg_cands=953.4
    1         LSH-Jaccard   3.747687   9.440086  13.187773              0.145323  0.804082  K=7, tau=0.4, num_perm=64, empty_rate=2.81%, avg_cands=147.7
    1         LSH-Jaccard   3.191721   7.476830  10.668551              0.127701  0.783897   K=7, tau=0.5, num_perm=64, empty_rate=3.67%, avg_cands=58.6
    1         LSH-Jaccard   2.865595   3.153861   6.019456              0.049394  0.550755   K=7, tau=0.6, num_perm=64, empty_rate=57.60%, avg_cands=4.0
    1         LSH-Jaccard   2.269812   1.656301   3.926113              0.035117  0.483186   K=7, tau=0.7, num_perm=64, empty_rate=86.04%, avg_cands=2.6
    2 Brute-Force-Jaccard   0.000000 671.111249 671.111249              1.000000  0.935039                                                           K=7
    2         LSH-Jaccard   1.118513 102.169109 103.287622              0.466122  0.910448 K=7, tau=0.3, num_perm=16, empty_rate=0.05%, avg_cands=4659.5
    2         LSH-Jaccard   0.873162  93.322990  94.196152              0.407102  0.904469 K=7, tau=0.4, num_perm=16, empty_rate=0.09%, avg_cands=4189.8
    2         LSH-Jaccard   1.630312  11.186367  12.816679              0.142754  0.819817  K=7, tau=0.5, num_perm=16, empty_rate=1.64%, avg_cands=238.9
    2         LSH-Jaccard   1.064170   5.575250   6.639420              0.066387  0.669574  K=7, tau=0.6, num_perm=16, empty_rate=15.95%, avg_cands=23.6
    2         LSH-Jaccard   1.183396   3.111413   4.294809              0.041173  0.547294   K=7, tau=0.7, num_perm=16, empty_rate=53.66%, avg_cands=5.0
    2         LSH-Jaccard   1.518056 122.471421 123.989477              0.564672  0.919529 K=7, tau=0.3, num_perm=32, empty_rate=0.00%, avg_cands=5613.1
    2         LSH-Jaccard   2.290515  15.052140  17.342656              0.225679  0.861895  K=7, tau=0.4, num_perm=32, empty_rate=0.54%, avg_cands=400.2
    2         LSH-Jaccard   1.738435   6.386286   8.124721              0.093637  0.738581   K=7, tau=0.5, num_perm=32, empty_rate=8.09%, avg_cands=34.4
    2         LSH-Jaccard   1.674317   4.189017   5.863334              0.053138  0.594902   K=7, tau=0.6, num_perm=32, empty_rate=42.20%, avg_cands=5.7
    2         LSH-Jaccard   1.393878   2.214668   3.608547              0.040229  0.517937   K=7, tau=0.7, num_perm=32, empty_rate=73.18%, avg_cands=2.8
    2         LSH-Jaccard   3.653983  27.344438  30.998421              0.358434  0.894713  K=7, tau=0.3, num_perm=64, empty_rate=0.20%, avg_cands=953.5
    2         LSH-Jaccard   3.888125   9.521015  13.409141              0.143531  0.807094  K=7, tau=0.4, num_perm=64, empty_rate=3.14%, avg_cands=149.0
    2         LSH-Jaccard   3.195199   7.493192  10.688390              0.126012  0.789202   K=7, tau=0.5, num_perm=64, empty_rate=3.79%, avg_cands=59.0
    2         LSH-Jaccard   2.744844   3.158168   5.903012              0.048848  0.549901   K=7, tau=0.6, num_perm=64, empty_rate=57.49%, avg_cands=3.9
    2         LSH-Jaccard   2.443624   1.655301   4.098924              0.035014  0.482467   K=7, tau=0.7, num_perm=64, empty_rate=86.01%, avg_cands=2.6
    3 Brute-Force-Jaccard   0.000000 674.990648 674.990648              1.000000  0.940029                                                           K=7
    3         LSH-Jaccard   1.103716 102.589245 103.692961              0.466765  0.914719 K=7, tau=0.3, num_perm=16, empty_rate=0.04%, avg_cands=4662.6
